,Au,Ag,Cu,PbZn,Fe,Mn,U,WMoSn,NiCoPGECr,LiBeTaNb,REE,Al,HgSbAs,BaF,P
Au,0.29,0.09,0.07,0.06,0.02,0.05,0.06,0.08,0.08,0.04,0.02,0.07,0.05,0.01,0.01
Ag,0.02,0.29,0.06,0.11,0.01,0.07,0.08,0.08,0.06,0.09,0.01,0.0,0.1,0.02,0.01
Cu,0.04,0.29,0.06,0.03,0.02,0.02,0.04,0.03,0.15,0.16,0.04,0.02,0.07,0.01,0.02
PbZn,0.03,0.13,0.03,0.26,0.05,0.02,0.08,0.1,0.05,0.06,0.04,0.02,0.06,0.06,0.02
Fe,0.01,0.04,0.02,0.13,0.36,0.03,0.04,0.03,0.12,0.02,0.03,0.05,0.01,0.09,0.02
Mn,0.06,0.08,0.01,0.07,0.15,0.12,0.09,0.11,0.02,0.03,0.06,0.05,0.13,0.02,0.02
U,0.0,0.1,0.04,0.03,0.0,0.0,0.69,0.01,0.01,0.01,0.1,0.0,0.01,0.0,0.0
WMoSn,0.02,0.11,0.01,0.11,0.01,0.11,0.04,0.2,0.06,0.09,0.04,0.05,0.08,0.04,0.03
NiCoPGECr,0.23,0.03,0.03,0.02,0.02,0.08,0.03,0.04,0.25,0.09,0.02,0.04,0.06,0.05,0.01
LiBeTaNb,0.0,0.01,0.01,0.05,0.06,0.0,0.31,0.06,0.2,0.13,0.04,0.03,0.03,0.03,0.04
REE,0.0,0.0,0.02,0.02,0.09,0.02,0.28,0.04,0.11,0.0,0.26,0.04,0.02,0.04,0.04
Al,0.03,0.0,0.04,0.03,0.15,0.21,0.06,0.06,0.08,0.01,0.06,0.08,0.1,0.04,0.05
HgSbAs,0.11,0.17,0.02,0.03,0.01,0.03,0.01,0.06,0.05,0.03,0.0,0.03,0.39,0.02,0.02
BaF,0.03,0.05,0.02,0.07,0.12,0.07,0.22,0.08,0.05,0.03,0.04,0.05,0.06,0.1,0.03
P,0.02,0.02,0.02,0.17,0.02,0.04,0.09,0.04,0.09,0.07,0.03,0.05,0.01,0.0,0.33
