,Au,Ag,Cu,PbZn,Fe,Mn,U,WMoSn,NiCoPGECr,LiBeTaNb,REE,Al,HgSbAs,BaF,P
A00,0.392,0.244,-0.139,-0.28,-0.676,0.217,1.284,0.258,0.349,0.234,-0.211,-0.053,0.592,-0.006,0.029
A01,-0.053,0.142,0.177,-0.031,-0.058,0.436,0.356,0.165,0.102,0.105,-0.286,-0.358,0.241,0.075,-0.231
A02,-0.206,-0.213,-0.241,-0.251,-0.089,-0.166,0.067,-0.372,-0.322,-0.312,-0.194,-0.121,-0.252,-0.134,0.078
A03,0.236,0.367,0.214,0.525,0.765,0.768,-0.023,0.349,0.122,0.562,0.685,0.392,0.518,0.906,0.681
A04,0.564,0.261,-0.146,0.45,0.653,0.457,1.141,0.244,0.271,0.344,-0.016,0.042,0.543,0.626,0.225
A05,-0.171,0.127,-0.271,-0.247,-0.967,-0.201,0.824,0.134,-0.314,-0.234,-0.256,-0.509,0.259,-0.323,-0.313
A06,0.058,0.044,-0.059,0.091,0.006,0.001,0.016,0.162,0.16,0.053,0.429,0.44,0.228,0.05,0.118
A07,-0.188,-0.729,-0.245,-0.483,-0.318,-0.421,-1.091,-0.538,0.192,0.088,-0.134,-0.584,-0.695,-0.529,-0.553
A08,0.294,-0.237,0.13,0.244,0.628,0.141,-0.988,-0.174,0.41,-0.052,0.035,0.07,0.081,0.055,-0.293
A09,-0.484,-0.611,-0.495,-0.73,-0.942,-0.851,-0.565,-0.484,-0.55,-0.319,-0.102,-0.391,-0.832,-0.889,-0.139
A10,-0.227,0.155,0.277,-0.02,0.097,-0.095,-0.748,-0.041,-0.059,-0.155,-0.257,-0.481,-0.063,-0.16,-0.283
A11,-0.158,-0.424,-0.087,-0.786,-0.709,-0.289,-0.942,-0.353,-0.189,-0.577,-0.348,0.122,-0.636,-0.701,-0.415
A12,-0.157,-0.198,-0.173,-0.053,-0.308,-0.575,0.122,0.02,0.01,0.376,-0.033,-0.361,-0.56,-0.443,-0.515
A13,-0.094,0.017,0.191,-0.111,-0.145,-0.171,-0.579,-0.097,0.138,-0.006,0.366,0.332,-0.184,-0.278,-0.094
A14,0.026,0.355,0.096,-0.135,-0.524,0.252,0.152,0.137,-0.119,-0.154,-0.086,-0.12,0.29,0.212,0.013
A15,0.151,-0.02,0.185,0.391,0.645,0.407,0.096,-0.105,0.061,0.143,0.256,0.067,0.239,0.44,0.429
A16,0.173,-0.337,0.001,-0.504,-0.728,-0.274,-0.182,-0.421,0.132,-0.27,-0.447,-0.469,-0.275,-0.435,-0.336
A17,0.273,0.597,0.447,0.691,0.705,0.767,1.271,0.501,0.13,0.628,0.401,0.462,0.418,1.104,0.602
A18,0.316,0.457,0.206,-0.14,-0.746,-0.082,1.591,0.186,-0.111,0.176,-0.191,-0.36,0.295,-0.032,-0.214
A19,-0.253,-0.652,0.079,-0.263,0.054,-0.23,-1.594,-0.576,0.081,-0.451,0.089,0.436,-0.625,-0.278,-0.138
A20,-0.063,-0.381,-0.049,-0.209,-0.29,-0.538,-0.308,-0.116,0.054,0.13,-0.369,-0.792,-0.222,-0.654,-0.463
A21,-0.325,-0.365,-0.187,-0.38,-0.086,-0.044,-0.944,-0.156,-0.111,-0.422,0.164,0.316,-0.266,-0.155,-0.104
A22,0.153,-0.179,-0.244,-0.162,-0.379,-0.13,0.283,-0.113,-0.09,-0.065,-0.15,0.453,-0.039,-0.126,-0.149
A23,-0.24,-0.733,-0.485,-0.114,0.176,0.052,-0.461,-0.136,-0.123,0.041,-0.018,0.014,-0.335,0.043,-0.131
A24,0.335,-0.447,-0.047,0.384,0.756,0.184,-0.43,-0.137,0.261,0.186,0.025,0.153,0.171,0.07,0.157
A25,0.371,-0.334,-0.18,-0.101,0.205,0.064,-0.171,0.006,0.226,0.061,0.16,0.362,0.165,0.104,0.07
A26,-0.891,-0.614,-0.971,-1.127,-1.467,-1.063,-0.81,-0.443,-0.842,-0.937,-0.861,-0.318,-0.843,-1.023,-0.543
A27,-0.058,0.245,0.057,-0.213,-0.666,-0.302,-0.402,0.289,0.255,0.319,-0.212,-0.278,0.163,-0.299,-0.103
A28,0.164,-0.081,0.146,0.213,0.046,-0.02,0.395,-0.008,0.325,0.024,-0.101,-0.405,0.298,-0.103,-0.133
A29,0.608,0.727,0.338,0.534,0.698,1.108,1.821,0.63,0.326,0.659,0.575,1.131,0.968,1.007,0.843
A30,0.557,0.733,0.345,-0.036,-0.477,0.144,1.196,0.502,0.065,0.087,-0.097,0.277,0.698,0.036,0.263
A31,-0.161,0.268,0.196,0.134,0.081,0.035,0.535,0.026,-0.133,0.051,0.069,-0.272,0.184,0.073,-0.171
A32,0.385,0.174,0.001,0.242,0.055,0.34,1.508,0.211,0.31,0.277,-0.092,-0.003,0.563,0.557,0.361
A33,0.405,0.302,0.033,0.381,0.305,0.214,0.051,0.332,0.398,0.263,0.236,0.635,0.382,0.256,0.239
A34,0.148,0.396,0.388,0.11,0.268,0.354,0.314,0.13,0.299,0.283,0.17,0.09,0.219,0.499,-0.114
A35,-0.339,-0.744,-0.343,-0.533,-0.403,-0.47,0.025,-0.404,-0.02,-0.22,-0.06,-0.273,-0.621,-0.452,-0.112
A36,0.057,0.429,0.191,-0.281,-0.794,-0.378,-0.042,0.036,0.054,-0.323,-0.4,-0.452,0.133,-0.402,-0.353
A37,0.042,-0.263,-0.155,-0.691,-1.23,-0.521,0.829,-0.304,-0.097,-0.233,-0.138,-0.627,-0.059,-0.689,-0.098
A38,-0.991,-1.106,-0.682,-0.647,0.012,-0.622,-1.09,-1.052,-0.632,-0.62,-0.096,-0.18,-1.195,-0.555,-0.344
A39,0.343,0.19,0.287,-0.015,-0.604,-0.228,0.087,0.303,0.506,-0.013,0.123,-0.058,0.502,-0.087,-0.015
A40,-0.428,-0.177,-0.374,-0.329,-0.419,0.081,0.269,-0.228,-0.556,-0.765,-0.627,0.137,-0.231,-0.011,0.161
A41,0.3,0.09,0.151,0.476,0.492,0.182,0.33,0.313,0.011,0.532,0.104,0.069,0.223,0.372,-0.069
A42,0.191,-0.036,0.052,0.351,0.981,0.88,0.811,0.146,0.213,0.306,0.561,0.678,0.354,0.695,0.296
A43,-0.405,-0.503,-0.425,-0.526,-0.173,-0.339,-1.391,-0.439,0.015,0.0,0.075,0.141,-0.774,-0.36,-0.142
A44,0.397,0.397,0.477,0.302,0.292,0.437,0.385,0.593,0.174,0.394,0.42,0.074,0.725,0.443,-0.044
A45,0.479,-0.025,-0.249,0.097,0.196,0.235,0.733,0.015,0.158,-0.037,0.127,-0.084,0.411,0.186,0.257
A46,0.132,0.312,0.357,0.7,1.087,0.449,1.103,0.23,0.116,0.301,0.187,0.036,0.405,0.704,0.412
A47,-0.163,0.449,0.258,0.122,-0.353,0.128,-0.689,0.375,-0.181,-0.337,-0.077,0.004,0.244,0.057,-0.036
A48,0.075,-0.259,0.166,0.526,1.378,0.439,0.068,-0.12,0.403,0.254,0.476,0.804,0.025,0.404,0.454
A49,-0.557,-0.814,-0.536,-0.852,-1.154,-0.603,-2.409,-0.503,-0.459,-0.925,-0.483,-0.161,-0.697,-1.148,-0.129
A50,-0.164,-0.128,-0.137,-0.576,-1.073,-0.771,0.095,-0.194,-0.266,-0.337,-0.439,-0.604,-0.444,-0.716,-0.731
A51,-0.581,-0.547,-0.079,-0.091,0.359,-0.255,-1.021,-0.457,-0.432,-0.192,-0.076,-0.272,-0.461,-0.114,-0.027
