,Au,Ag,Cu,PbZn,Fe,Mn,U,WMoSn,NiCoPGECr,LiBeTaNb,REE,Al,HgSbAs,BaF,P
Au,1.0,0.7,0.67,0.66,0.36,0.7,0.68,0.76,0.78,0.7,0.44,0.38,0.85,0.67,0.49
Ag,0.7,1.0,0.82,0.65,0.18,0.65,0.7,0.9,0.46,0.58,0.28,0.26,0.87,0.64,0.44
Cu,0.67,0.82,1.0,0.73,0.41,0.67,0.47,0.75,0.63,0.62,0.4,0.29,0.76,0.63,0.38
PbZn,0.66,0.65,0.73,1.0,0.81,0.83,0.52,0.7,0.57,0.81,0.66,0.53,0.72,0.9,0.7
Fe,0.36,0.18,0.41,0.81,1.0,0.72,0.16,0.26,0.43,0.63,0.69,0.63,0.32,0.78,0.66
Mn,0.7,0.65,0.67,0.83,0.72,1.0,0.55,0.7,0.59,0.7,0.64,0.68,0.79,0.94,0.78
U,0.68,0.7,0.47,0.52,0.16,0.55,1.0,0.68,0.34,0.56,0.26,0.14,0.74,0.61,0.44
WMoSn,0.76,0.9,0.75,0.7,0.26,0.7,0.68,1.0,0.56,0.71,0.42,0.35,0.9,0.68,0.49
NiCoPGECr,0.78,0.46,0.63,0.57,0.43,0.59,0.34,0.56,1.0,0.7,0.5,0.37,0.65,0.51,0.35
LiBeTaNb,0.7,0.58,0.62,0.81,0.63,0.7,0.56,0.71,0.7,1.0,0.68,0.42,0.64,0.75,0.55
REE,0.44,0.28,0.4,0.66,0.69,0.64,0.26,0.42,0.5,0.68,1.0,0.69,0.4,0.7,0.69
Al,0.38,0.26,0.29,0.53,0.63,0.68,0.14,0.35,0.37,0.42,0.69,1.0,0.36,0.65,0.74
HgSbAs,0.85,0.87,0.76,0.72,0.32,0.79,0.74,0.9,0.65,0.64,0.4,0.36,1.0,0.73,0.57
BaF,0.67,0.64,0.63,0.9,0.78,0.94,0.61,0.68,0.51,0.75,0.7,0.65,0.73,1.0,0.81
P,0.49,0.44,0.38,0.7,0.66,0.78,0.44,0.49,0.35,0.55,0.69,0.74,0.57,0.81,1.0
