class,n_cells,max_abs_d_local,max_abs_d_context25,top_dims_local
U,1133,2.41,2.69,"A49(-2.41), A56(-1.92), A29(+1.82), A19(-1.59), A18(+1.59)"
Fe,2991,1.47,1.49,"A26(-1.47), A48(+1.38), A37(-1.23), A49(-1.15), A46(+1.09)"
HgSbAs,656,1.2,1.27,"A38(-1.20), A29(+0.97), A60(+0.92), A26(-0.84), A52(+0.83)"
BaF,941,1.15,1.22,"A49(-1.15), A17(+1.10), A26(-1.02), A29(+1.01), A03(+0.91)"
Al,478,1.13,1.09,"A29(+1.13), A61(-0.83), A48(+0.80), A20(-0.79), A42(+0.68)"
PbZn,2499,1.13,1.11,"A26(-1.13), A49(-0.85), A53(+0.81), A11(-0.79), A62(-0.75)"
Ag,794,1.11,1.14,"A38(-1.11), A57(-0.97), A54(+0.95), A52(+0.92), A49(-0.81)"
Mn,1094,1.11,1.07,"A29(+1.11), A26(-1.06), A42(+0.88), A09(-0.85), A50(-0.77)"
LiBeTaNb,377,1.07,1.1,"A53(+1.07), A26(-0.94), A49(-0.92), A40(-0.76), A29(+0.66)"
WMoSn,1319,1.05,1.08,"A38(-1.05), A57(-0.74), A63(-0.69), A53(+0.69), A60(+0.65)"
Au,7318,0.99,1.04,"A38(-0.99), A26(-0.89), A29(+0.61), A51(-0.58), A04(+0.56)"
Cu,4279,0.97,0.96,"A26(-0.97), A38(-0.68), A52(+0.66), A54(+0.57), A49(-0.54)"
REE,198,0.86,0.9,"A26(-0.86), A53(+0.80), A03(+0.69), A40(-0.63), A29(+0.58)"
NiCoPGECr,1289,0.84,0.84,"A26(-0.84), A38(-0.63), A60(+0.60), A53(+0.56), A40(-0.56)"
P,579,0.84,0.8,"A29(+0.84), A50(-0.73), A03(+0.68), A17(+0.60), A07(-0.55)"
