country,p_prospective,p_Au,p_Ag,p_Cu,p_PbZn,p_Fe,p_Mn,p_U,p_WMoSn,p_NiCoPGECr,p_LiBeTaNb,p_REE,p_Al,p_HgSbAs,p_BaF,p_P,cells,mean_p,known_positive_cells
United States of America,20111.412,5099.6724,1170.9951,2050.8691,2583.9758,3539.5884,757.0282,1229.2157,601.8236,407.5328,266.6612,92.6782,287.2185,535.1342,864.9315,624.0868,257451,0.0781,16025
Russia,20106.941,5363.552,390.8114,4987.976,835.7774,2236.5747,335.5882,22.5838,1024.4344,2732.6313,258.9062,176.1758,575.1173,281.6979,71.4211,813.6932,453004,0.0444,747
China,16979.57,3224.4197,272.0542,5722.886,1280.5455,1673.6495,940.6413,34.2416,1022.3322,509.8266,197.849,236.0702,419.6245,122.944,213.3633,1109.1222,280661,0.0605,538
Canada,14067.67,2863.722,692.5832,5954.679,1882.351,936.9446,31.155,47.2382,472.7316,771.729,61.0739,26.5592,36.8461,121.1734,125.0645,43.8194,259458,0.0542,947
Brazil,11530.434,4593.03,164.146,501.1974,587.532,631.9055,485.785,59.6231,1881.4268,517.3822,809.5282,189.7961,468.3294,27.9534,285.4235,327.3752,219145,0.0526,663
Australia,11298.192,2603.2253,317.281,3490.2869,1053.8628,799.1475,181.3844,247.1516,631.6452,578.8134,96.2849,423.1335,430.6484,23.6593,173.0808,248.5877,220763,0.0512,447
India,5144.3574,142.1582,50.7109,1471.3718,454.4676,580.5738,968.277,1.6818,134.7004,213.5388,8.2379,98.3413,415.2331,43.0684,104.08,457.9166,85800,0.06,211
Mexico,4197.566,584.0926,690.0321,544.562,705.2666,155.5353,175.0683,23.8428,181.5144,94.1519,12.6181,11.3662,29.6995,378.8114,452.9852,158.0197,46897,0.0895,771
Argentina,4036.016,639.1488,213.1833,648.49,547.9184,399.2662,179.9501,34.8152,432.1907,160.3914,122.732,27.4845,22.7197,81.6389,450.3733,75.7134,94266,0.0428,459
Iran,3902.7249,180.2037,101.0188,1100.2247,1009.597,500.9486,54.1284,5.3029,81.931,520.4055,5.2631,4.6735,60.9459,116.969,82.5452,78.5673,44427,0.0878,144
