split,model,target,n_pos,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,roc_auc_pu,top1_acc,cross_entropy,mass_on_present
cv0,nn,all,5620,0.07491103202846976,0.2564056939501779,0.5161921708185053,0.7167259786476868,0.8406721295859659,0.8430480844009776,,,
cv0,nn,non_us,3277,0.11718034787915776,0.2923405553860238,0.44644491913335366,0.6521208422337503,0.8196356010133579,0.8209314143010569,,,
cv0,nn,world_class,785,0.048407643312101914,0.16050955414012738,0.3159235668789809,0.513375796178344,0.7473972757750166,0.7476363046549837,,,
cv0,knn,all,5620,0.11939501779359431,0.2896797153024911,0.38629893238434165,0.5044483985765125,0.7686015831776967,0.7704747626771264,,,
cv0,knn,non_us,3277,0.0866646322856271,0.21696673787000306,0.3082087274946598,0.4324076899603296,0.7210290663342104,0.7219249323382643,,,
cv0,knn,world_class,785,0.06496815286624204,0.1681528662420382,0.27261146496815286,0.4369426751592357,0.7007901435848674,0.7009840141447912,,,
cv0,gbm,all,5620,0.08683274021352314,0.3516014234875445,0.6067615658362989,0.8220640569395018,0.873301190393091,0.8759047680826768,,,
cv0,gbm,non_us,3277,0.13274336283185842,0.4095209032651816,0.5538602380225817,0.7476350320415014,0.8500970557626395,0.8515164162550161,,,
cv0,gbm,world_class,785,0.07643312101910828,0.2522292993630573,0.4063694267515924,0.6178343949044586,0.7872911930958963,0.7875688495099884,,,
cv0,nn,composition,5620,,,,,,,0.448576512455516,2.048327922821045,0.4419938325881958
cv0,class_prior,composition,5620,,,,,,,0.3103202846975089,2.3036439418792725,0.2691305875778198
cv1,nn,all,6107,0.09693794006877354,0.30817095136728345,0.46127394792860654,0.6954314720812182,0.8388669525291044,0.8411857510220357,,,
cv1,nn,non_us,2662,0.07212622088655146,0.2948910593538693,0.4380165289256198,0.6468820435762584,0.824066573569957,0.825029128632979,,,
cv1,nn,world_class,997,0.05917753259779338,0.23470411233701102,0.37612838515546637,0.5807422266800402,0.7914949164247719,0.7918182063259236,,,
cv1,knn,all,6107,0.10889143605698379,0.256099557884395,0.3836580972654331,0.5501883084984444,0.7644767572134593,0.7662864003017194,,,
cv1,knn,non_us,2662,0.06010518407212622,0.16979714500375656,0.27798647633358375,0.4259954921111946,0.6705143685484951,0.6710205762759615,,,
