model,target,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,top1_acc,cross_entropy,mass_on_present,split
class_prior,composition,,,,,,0.294,2.361,0.28,cv_mean
gbm,all,0.063,0.315,0.542,0.765,0.859,,,,cv_mean
gbm,non_us,0.067,0.268,0.434,0.647,0.817,,,,cv_mean
gbm,world_class,0.05,0.224,0.396,0.619,0.805,,,,cv_mean
knn,all,0.11,0.26,0.376,0.524,0.757,,,,cv_mean
knn,non_us,0.065,0.178,0.284,0.427,0.689,,,,cv_mean
knn,world_class,0.067,0.172,0.267,0.403,0.673,,,,cv_mean
nn,all,0.068,0.242,0.424,0.674,0.827,,,,cv_mean
nn,composition,,,,,,0.388,2.118,0.426,cv_mean
nn,non_us,0.079,0.258,0.399,0.61,0.804,,,,cv_mean
nn,world_class,0.047,0.178,0.325,0.559,0.776,,,,cv_mean
nn,all,0.009,0.064,0.189,0.445,0.727,,,,holdout_south_america
nn,non_us,0.009,0.064,0.189,0.445,0.727,,,,holdout_south_america
nn,world_class,0.003,0.091,0.217,0.396,0.688,,,,holdout_south_america
knn,all,0.009,0.082,0.136,0.196,0.535,,,,holdout_south_america
knn,non_us,0.009,0.082,0.136,0.196,0.535,,,,holdout_south_america
knn,world_class,0.035,0.073,0.12,0.223,0.541,,,,holdout_south_america
gbm,all,0.013,0.131,0.236,0.38,0.68,,,,holdout_south_america
gbm,non_us,0.013,0.131,0.236,0.38,0.68,,,,holdout_south_america
gbm,world_class,0.021,0.126,0.226,0.375,0.686,,,,holdout_south_america
nn,composition,,,,,,0.285,2.504,0.374,holdout_south_america
class_prior,composition,,,,,,0.308,2.219,0.245,holdout_south_america
nn,all,0.089,0.203,0.344,0.548,0.77,,,,holdout_australia
nn,non_us,0.089,0.203,0.344,0.548,0.77,,,,holdout_australia
nn,world_class,0.122,0.209,0.345,0.54,0.772,,,,holdout_australia
knn,all,0.013,0.028,0.071,0.136,0.411,,,,holdout_australia
knn,non_us,0.013,0.028,0.071,0.136,0.411,,,,holdout_australia
knn,world_class,0.0,0.022,0.043,0.122,0.441,,,,holdout_australia
gbm,all,0.061,0.167,0.255,0.487,0.749,,,,holdout_australia
gbm,non_us,0.061,0.167,0.255,0.487,0.749,,,,holdout_australia
gbm,world_class,0.043,0.115,0.194,0.468,0.745,,,,holdout_australia
nn,composition,,,,,,0.113,3.797,0.176,holdout_australia
class_prior,composition,,,,,,0.297,2.357,0.25,holdout_australia
nn,all,0.045,0.264,0.436,0.602,0.782,,,,holdout_africa
nn,non_us,0.045,0.264,0.436,0.602,0.782,,,,holdout_africa
nn,world_class,0.046,0.267,0.436,0.598,0.788,,,,holdout_africa
knn,all,0.037,0.146,0.189,0.241,0.401,,,,holdout_africa
knn,non_us,0.037,0.146,0.189,0.241,0.401,,,,holdout_africa
knn,world_class,0.022,0.125,0.164,0.223,0.394,,,,holdout_africa
gbm,all,0.045,0.23,0.41,0.628,0.799,,,,holdout_africa
gbm,non_us,0.045,0.23,0.41,0.628,0.799,,,,holdout_africa
gbm,world_class,0.042,0.218,0.394,0.634,0.802,,,,holdout_africa
nn,composition,,,,,,0.158,2.831,0.201,holdout_africa
class_prior,composition,,,,,,0.178,2.647,0.189,holdout_africa
