class,h3,lat,lon,country,p_class,p_prospective,km_to_city_250k,urban_flag
Au,8666f590fffffff,4.795,-76.022,Colombia,0.405,0.512,37.9,False
Au,8666f592fffffff,4.848,-75.997,Colombia,0.393,0.487,35.4,False
Au,8666f5827ffffff,4.742,-76.047,Colombia,0.387,0.488,41.4,False
Au,8666f1dafffffff,3.667,-76.673,Colombia,0.379,0.515,35.1,False
Au,8666f1d17ffffff,3.721,-76.648,Colombia,0.36,0.491,39.0,False
Au,8666f1d37ffffff,3.774,-76.622,Colombia,0.359,0.483,43.5,False
Au,8666f5907ffffff,4.844,-76.058,Colombia,0.348,0.458,42.1,False
Au,8666f5927ffffff,4.897,-76.033,Colombia,0.341,0.454,40.3,False
Au,8666f581fffffff,4.636,-76.097,Colombia,0.34,0.465,47.5,False
Au,8666f5807ffffff,4.689,-76.072,Colombia,0.338,0.461,45.5,False
Au,8666f5837ffffff,4.738,-76.108,Colombia,0.338,0.44,48.1,False
Au,8666f591fffffff,4.791,-76.083,Colombia,0.335,0.434,44.7,False
Au,8666f58f7ffffff,4.583,-76.123,Colombia,0.334,0.453,49.3,False
Au,8666f0a4fffffff,3.77,-76.683,Colombia,0.333,0.479,42.3,False
Au,8666f1d8fffffff,3.613,-76.698,Colombia,0.331,0.442,32.0,False
Au,8666f58d7ffffff,4.53,-76.148,Colombia,0.33,0.473,51.8,False
Au,8666f510fffffff,4.423,-76.198,Colombia,0.322,0.469,58.6,False
Au,8666f5027ffffff,4.37,-76.223,Colombia,0.314,0.454,62.8,False
Au,8666e48a7ffffff,5.519,-74.162,Colombia,0.31,0.452,102.7,False
Au,8666f1d07ffffff,3.725,-76.587,Colombia,0.31,0.433,37.1,False
Au,8666f58c7ffffff,4.533,-76.087,Colombia,0.306,0.392,45.0,False
Au,8666e4cf7ffffff,5.397,-74.51,Colombia,0.303,0.484,100.5,False
Au,8666f1c17ffffff,3.564,-76.663,Colombia,0.303,0.398,25.4,True
Au,868ad91a7ffffff,3.159,-62.197,Brazil,0.302,0.306,570.9,False
Au,868ad9117ffffff,3.148,-62.252,Brazil,0.301,0.306,570.5,False
Ag,8666e0cefffffff,4.27,-74.512,Colombia,0.174,0.537,59.8,False
Ag,8666e0cdfffffff,4.214,-74.596,Colombia,0.165,0.495,70.9,False
Ag,8666e4577ffffff,5.244,-74.524,Colombia,0.164,0.497,86.7,False
Ag,8666c4c47ffffff,2.803,-75.546,Colombia,0.154,0.485,27.9,True
Ag,8666d5a97ffffff,1.632,-77.275,Colombia,0.153,0.496,46.5,False
Ag,8666e4cdfffffff,5.296,-74.499,Colombia,0.152,0.501,90.1,False
Ag,8666e0c0fffffff,4.373,-74.522,Colombia,0.149,0.466,54.5,False
Ag,8666e050fffffff,4.157,-74.681,Colombia,0.148,0.469,68.7,False
Ag,8666d5ab7ffffff,1.686,-77.25,Colombia,0.144,0.474,52.6,False
Ag,868b615afffffff,-13.406,-71.274,Peru,0.141,0.526,76.6,False
Ag,8666e0ccfffffff,4.217,-74.536,Colombia,0.141,0.479,65.5,False
Ag,8666d5067ffffff,1.627,-77.337,Colombia,0.14,0.475,46.4,False
Ag,8666e0ce7ffffff,4.32,-74.547,Colombia,0.14,0.446,59.8,False
Ag,8666e0c2fffffff,4.426,-74.498,Colombia,0.139,0.474,49.6,False
Ag,8666c402fffffff,2.553,-75.367,Colombia,0.139,0.478,42.2,False
Ag,8666e0cc7ffffff,4.267,-74.572,Colombia,0.136,0.467,65.3,False
Ag,8666e052fffffff,4.21,-74.656,Colombia,0.136,0.461,68.8,False
Ag,8666d506fffffff,1.577,-77.301,Colombia,0.135,0.43,40.5,False
Ag,8666e46a7ffffff,4.784,-74.505,Colombia,0.135,0.474,50.9,False
Ag,8666e4cc7ffffff,5.348,-74.475,Colombia,0.133,0.476,93.9,False
Ag,8666e0577ffffff,4.16,-74.621,Colombia,0.132,0.433,74.5,False
Ag,868b61437ffffff,-13.357,-71.311,Peru,0.131,0.454,73.9,False
Ag,8666d516fffffff,1.737,-77.285,Colombia,0.129,0.468,58.2,False
Ag,8666d5a87ffffff,1.636,-77.214,Colombia,0.128,0.434,47.6,False
Ag,8666c4157ffffff,2.607,-75.342,Colombia,0.127,0.424,36.1,False
Cu,863d3371fffffff,32.069,76.786,India,0.603,0.613,102.8,False
Cu,863d33737ffffff,32.113,76.672,India,0.603,0.613,91.3,False
