country,p_prospective,p_Au,p_Ag,p_Cu,p_PbZn,p_Fe,p_Mn,p_U,p_WMoSn,p_NiCoPGECr,p_LiBeTaNb,p_REE,p_Al,p_HgSbAs,p_BaF,p_P,cells,mean_p,known_positive_cells
United States of America,85988.8,20786.6,5111.0,8683.9,9491.2,13772.9,3929.9,7881.9,2759.4,2236.0,1144.6,780.3,1453.6,2251.0,3629.0,2077.5,257451,0.3,29136
Russia,27787.5,7146.6,661.6,6124.3,1444.4,2824.7,540.2,68.2,1812.5,4264.7,178.1,172.5,813.1,530.3,134.6,1071.9,453004,0.1,1240
Canada,23830.0,5514.1,1426.9,8219.0,2682.2,1728.4,175.7,204.7,750.5,2122.4,380.6,83.4,108.1,150.7,185.0,98.3,259458,0.1,1381
China,20375.1,3477.2,399.3,5015.2,1736.1,2685.9,1557.2,67.7,1705.6,592.2,512.4,194.1,686.7,434.3,278.1,1033.2,280661,0.1,944
Brazil,17296.1,5923.1,203.9,865.2,719.3,1256.1,769.1,311.8,3041.4,1123.2,965.3,323.6,949.9,29.6,334.4,480.2,219145,0.1,1111
Australia,15590.0,3415.9,454.1,3535.6,1108.4,1099.2,120.3,1053.3,643.0,1800.7,160.5,886.0,810.4,40.8,126.5,335.4,220763,0.1,720
Mexico,9886.5,1422.4,1442.7,1304.1,1547.2,442.2,494.6,91.2,494.3,172.6,20.3,24.4,39.7,653.1,1304.6,433.2,46897,0.2,1806
Peru,7778.0,1412.8,1576.5,2083.0,1700.8,137.2,38.3,18.2,363.8,60.7,20.6,11.3,8.3,285.2,31.9,29.4,31343,0.2,1448
Argentina,7434.1,1033.8,599.5,1306.5,1153.0,712.0,474.6,153.5,580.7,190.7,397.3,22.4,28.4,171.3,572.5,37.8,94266,0.1,1180
India,6238.4,158.5,47.6,1706.8,455.8,1090.7,825.8,2.8,161.3,248.9,34.4,107.9,848.0,19.7,112.3,417.9,85800,0.1,463
Chile,5680.9,1201.0,536.6,2677.4,435.5,252.1,141.2,11.3,132.2,153.8,23.0,6.0,16.7,51.4,27.3,15.3,22071,0.3,1745
Kazakhstan,5305.2,572.9,112.9,1921.8,699.3,253.6,174.8,17.0,523.3,405.6,31.8,46.5,281.3,36.3,24.9,203.2,64086,0.1,351
