split,model,target,n_pos,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,roc_auc_pu,top1_acc,cross_entropy,mass_on_present
cv0,nn,all,9431,0.2588272717633337,0.5791538543102535,0.735340897041671,0.8549464531863005,0.9065261514082228,0.9113064627912869,,,
cv0,nn,non_us,5421,0.1342925659472422,0.4882862940416897,0.6347537354731599,0.7876775502674783,0.8743052948137449,0.8768227908608338,,,
cv0,nn,world_class,785,0.08535031847133757,0.2484076433121019,0.39490445859872614,0.5987261146496815,0.7943131275843232,0.7945968373215482,,,
cv0,knn,all,9431,0.09224896617537907,0.24992047502915915,0.3607252677340685,0.5016435160640441,0.7525729311733684,0.7555431682718416,,,
cv0,knn,non_us,5421,0.06806862202545656,0.18944844124700239,0.2853717026378897,0.4176351226710939,0.6997993719959186,0.7011428919326645,,,
cv0,knn,world_class,785,0.050955414012738856,0.1503184713375796,0.25477707006369427,0.4089171974522293,0.6938488814040916,0.6940360285822288,,,
cv0,gbm,all,9431,0.19457109532393171,0.5278337397942954,0.7058636411833316,0.8491146219913053,0.8982541259353619,0.9029379214407228,,,
cv0,gbm,non_us,5421,0.09905921416712783,0.3396052388858144,0.5487917358420955,0.7583471684191109,0.8512223592919398,0.8535845695753712,,,
cv0,gbm,world_class,785,0.07770700636942675,0.2751592356687898,0.43439490445859874,0.6152866242038216,0.7887666280932026,0.7890457136296257,,,
cv0,nn,composition,9431,,,,,,,0.4271020778238651,2.0179309844970703,0.42391133308410645
cv0,class_prior,composition,9431,,,,,,,0.2938726376885943,2.353402853012085,0.24056081473827362
cv1,nn,all,10989,0.2902902902902903,0.592046592046592,0.7188097188097188,0.8316498316498316,0.9059055305036873,0.9109320668674086,,,
cv1,nn,non_us,4720,0.05593220338983051,0.3375,0.5260593220338983,0.7091101694915254,0.8445053134959296,0.8463243688781135,,,
cv1,nn,world_class,997,0.058174523570712136,0.26178535606820463,0.41323971915747243,0.6198595787362087,0.8087932091836307,0.8091365166783655,,,
cv1,knn,all,10989,0.10337610337610338,0.24506324506324506,0.36154336154336153,0.5372645372645373,0.7538891878533002,0.7570327301144513,,,
cv1,knn,non_us,4720,0.0646186440677966,0.16885593220338982,0.2690677966101695,0.4152542372881356,0.6662261604196272,0.6671035690821542,,,
cv1,knn,world_class,997,0.06820461384152457,0.18054162487462388,0.2818455366098295,0.4222668004012036,0.6903769648586885,0.6905879227809162,,,
cv1,gbm,all,10989,0.2344162344162344,0.5858585858585859,0.7220857220857221,0.8609518609518609,0.9105403927702338,0.9156238717081928,,,
cv1,gbm,non_us,4720,0.025847457627118643,0.31080508474576274,0.4923728813559322,0.7334745762711864,0.8444276649408602,0.8462463015478875,,,
cv1,gbm,world_class,997,0.05416248746238716,0.24874623871614845,0.3731193580742227,0.5927783350050151,0.7984280918359512,0.7987591394932476,,,
cv1,nn,composition,10989,,,,,,,0.3960649747967768,2.123607635498047,0.4252487123012543
