model,target,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,top1_acc,cross_entropy,mass_on_present,split
class_prior,composition,,,,,,0.282,2.379,0.249,cv_mean
gbm,all,0.195,0.542,0.693,0.828,0.895,,,,cv_mean
gbm,non_us,0.054,0.288,0.479,0.69,0.828,,,,cv_mean
gbm,world_class,0.057,0.27,0.442,0.637,0.811,,,,cv_mean
knn,all,0.096,0.238,0.356,0.513,0.745,,,,cv_mean
knn,non_us,0.063,0.174,0.282,0.429,0.685,,,,cv_mean
knn,world_class,0.06,0.156,0.253,0.383,0.656,,,,cv_mean
nn,all,0.231,0.541,0.689,0.823,0.895,,,,cv_mean
nn,composition,,,,,,0.388,2.091,0.414,cv_mean
nn,non_us,0.061,0.312,0.497,0.697,0.835,,,,cv_mean
nn,world_class,0.06,0.234,0.405,0.618,0.805,,,,cv_mean
nn,all,0.026,0.119,0.21,0.442,0.717,,,,holdout_south_america
nn,non_us,0.026,0.119,0.21,0.442,0.717,,,,holdout_south_america
nn,world_class,0.047,0.155,0.217,0.431,0.69,,,,holdout_south_america
knn,all,0.019,0.092,0.167,0.239,0.559,,,,holdout_south_america
knn,non_us,0.019,0.092,0.167,0.239,0.559,,,,holdout_south_america
knn,world_class,0.018,0.076,0.12,0.226,0.549,,,,holdout_south_america
gbm,all,0.042,0.188,0.301,0.465,0.725,,,,holdout_south_america
gbm,non_us,0.042,0.188,0.301,0.465,0.725,,,,holdout_south_america
gbm,world_class,0.047,0.243,0.375,0.545,0.761,,,,holdout_south_america
nn,composition,,,,,,0.281,2.715,0.357,holdout_south_america
class_prior,composition,,,,,,0.285,2.291,0.221,holdout_south_america
nn,all,0.047,0.166,0.295,0.493,0.728,,,,holdout_australia
nn,non_us,0.047,0.166,0.295,0.493,0.728,,,,holdout_australia
nn,world_class,0.022,0.173,0.381,0.604,0.75,,,,holdout_australia
knn,all,0.009,0.023,0.078,0.148,0.439,,,,holdout_australia
knn,non_us,0.009,0.023,0.078,0.148,0.439,,,,holdout_australia
knn,world_class,0.0,0.022,0.043,0.101,0.446,,,,holdout_australia
gbm,all,0.031,0.171,0.292,0.479,0.736,,,,holdout_australia
gbm,non_us,0.031,0.171,0.292,0.479,0.736,,,,holdout_australia
gbm,world_class,0.007,0.158,0.317,0.489,0.757,,,,holdout_australia
nn,composition,,,,,,0.068,3.996,0.123,holdout_australia
class_prior,composition,,,,,,0.262,2.451,0.222,holdout_australia
nn,all,0.031,0.15,0.276,0.492,0.746,,,,holdout_africa
nn,non_us,0.031,0.15,0.276,0.492,0.746,,,,holdout_africa
nn,world_class,0.034,0.162,0.29,0.494,0.756,,,,holdout_africa
knn,all,0.064,0.188,0.228,0.282,0.455,,,,holdout_africa
knn,non_us,0.064,0.188,0.228,0.282,0.455,,,,holdout_africa
knn,world_class,0.032,0.124,0.159,0.224,0.392,,,,holdout_africa
gbm,all,0.018,0.218,0.394,0.601,0.795,,,,holdout_africa
gbm,non_us,0.018,0.218,0.394,0.601,0.795,,,,holdout_africa
gbm,world_class,0.019,0.224,0.405,0.636,0.809,,,,holdout_africa
nn,composition,,,,,,0.124,3.046,0.178,holdout_africa
class_prior,composition,,,,,,0.165,2.635,0.169,holdout_africa
