class,h3,lat,lon,country,p_class,p_prospective
Au,8666f5837ffffff,4.738,-76.108,Colombia,0.712,0.932
Au,86bcce047ffffff,-26.165,26.17,South Africa,0.708,0.892
Au,86660a6cfffffff,5.666,-74.268,Colombia,0.707,0.886
Au,86bce8d97ffffff,-29.146,26.187,South Africa,0.687,0.991
Au,8666e4d07ffffff,5.655,-74.447,Colombia,0.671,0.895
Au,8666e4d77ffffff,5.61,-74.352,Colombia,0.67,0.9
Au,8666e4d57ffffff,5.558,-74.376,Colombia,0.668,0.938
Au,86bceeacfffffff,-29.169,26.252,South Africa,0.667,0.993
Au,8666e4d37ffffff,5.704,-74.482,Colombia,0.666,0.849
Au,86660a68fffffff,5.76,-74.398,Colombia,0.656,0.819
Au,8666e4c27ffffff,5.554,-74.436,Colombia,0.646,0.911
Au,8666e4d17ffffff,5.652,-74.507,Colombia,0.643,0.884
Au,86bcee367ffffff,-29.111,26.243,South Africa,0.64,0.994
Au,8666e49b7ffffff,5.669,-74.208,Colombia,0.635,0.899
Au,86660aa17ffffff,6.25,-73.761,Colombia,0.634,0.738
Au,8666f510fffffff,4.423,-76.198,Colombia,0.629,0.888
Au,8666e4c1fffffff,5.45,-74.485,Colombia,0.625,0.872
Au,86660a65fffffff,5.721,-74.183,Colombia,0.625,0.799
Au,8666f58d7ffffff,4.53,-76.148,Colombia,0.624,0.869
Au,86bccc947ffffff,-27.646,25.6,South Africa,0.619,0.981
Au,8666e4d0fffffff,5.607,-74.412,Colombia,0.617,0.897
Au,8666e4d27ffffff,5.708,-74.422,Colombia,0.616,0.887
Au,8666e4d2fffffff,5.659,-74.387,Colombia,0.614,0.914
Au,8666e4c37ffffff,5.551,-74.496,Colombia,0.614,0.892
Au,8666e4c2fffffff,5.506,-74.401,Colombia,0.611,0.904
Ag,8666c4c77ffffff,2.853,-75.581,Colombia,0.326,0.977
Ag,8666c4c47ffffff,2.803,-75.546,Colombia,0.245,0.931
Ag,8666c4c2fffffff,2.903,-75.617,Colombia,0.242,0.962
Ag,862a31637ffffff,41.6,-70.52,United States of America,0.217,0.857
Ag,8666c4c0fffffff,2.849,-75.642,Colombia,0.21,0.948
