fold,model,task,capture@1%,capture@5%,capture@10%,capture@20%,capture_auc,roc_auc_pu,top1_acc,cross_entropy,mass_on_present
0,knn,presence_all,0.03151397011046134,0.12897985705003248,0.2222222222222222,0.3635477582846004,0.6509554107587527,0.6844964393984003,,,
0,knn,presence_producer,0.03409726103968697,0.14645053102291783,0.24538848518725545,0.3840134153158189,0.6602857363401919,0.679208932103569,,,
0,lr_mean,presence_all,0.03508771929824561,0.15789473684210525,0.2826510721247563,0.49090318388564,0.7460453410353433,0.8007373167331888,,,
0,lr_mean,presence_producer,0.045276690888764674,0.17998882057015092,0.31637786472889884,0.5410844046953606,0.770256999997753,0.8021859861150255,,,
0,gbm,presence_all,0.04028589993502274,0.18551007147498375,0.3349577647823262,0.5669265756985056,0.7823745461847872,0.8451472628459213,,,
0,gbm,presence_producer,0.05477920626048072,0.2397987702627166,0.4136389044158748,0.6545556176634991,0.8158932421285009,0.8532194145465541,,,
0,nn,presence_all,0.04093567251461988,0.17543859649122806,0.31221572449642626,0.5422352176738142,0.7722703828311309,0.8327956322022371,,,
0,nn,presence_producer,0.05589714924538849,0.2179988820570151,0.37506987143655673,0.6238121855785355,0.8040129500569743,0.839934114011339,,,
0,nn_ssl,presence_all,0.04093567251461988,0.1751137102014295,0.3190383365821962,0.5331384015594542,0.7732940550495195,0.8340470125815843,,,
0,nn_ssl,presence_producer,0.05477920626048072,0.22358859698155395,0.38848518725544995,0.607043040804919,0.805218129075228,0.8412818424279798,,,
0,gbm,composition,,,,,,,0.4483115926520861,2.0270033010364683,0.5846695620778386
0,nn,composition,,,,,,,0.48048190047073047,1.7926263809204102,0.5604634881019592
0,nn_ssl,composition,,,,,,,0.47512737937515853,1.7958922386169434,0.5647416710853577
0,class_prior,composition,,,,,,,0.3457552417426137,2.259077548980713,0.3682273030281067
1,knn,presence_all,0.029083431257344302,0.13190364277320799,0.2335487661574618,0.37867215041128083,0.6693448526516368,0.7085464506931677,,,
1,knn,presence_producer,0.03214465092918132,0.15469613259668508,0.26770467101958817,0.41637368156705173,0.6817157369524486,0.7041495172860299,,,
1,lr_mean,presence_all,0.023501762632197415,0.14806110458284372,0.27467685076380727,0.47385428907168037,0.7377985253734879,0.7928602038632342,,,
1,lr_mean,presence_producer,0.027624309392265192,0.17980914113510799,0.31793068809643393,0.5379206428930186,0.7722727794527185,0.8059017831093693,,,
1,gbm,presence_all,0.046122209165687426,0.195358401880141,0.34459459459459457,0.5619858989424207,0.7798354915577556,0.8446367448427131,,,
1,gbm,presence_producer,0.06880964339527876,0.2536413862380713,0.4229030637870417,0.6333500753390257,0.8168619142018837,0.8560033032845259,,,
1,nn,presence_all,0.041421856639247946,0.1809635722679201,0.32461809635722677,0.5552291421856639,0.7767768110487375,0.840869376461062,,,
1,nn,presence_producer,0.05926670015067805,0.23405323957810145,0.3997990959316926,0.6388749372174787,0.81602425881098,0.8550620761448875,,,
1,nn_ssl,presence_all,0.041128084606345476,0.17890716803760282,0.3163924794359577,0.5511163337250293,0.7759454472348025,0.8398454133651639,,,
1,nn_ssl,presence_producer,0.05876443997990959,0.23204419889502761,0.3852335509794073,0.6192867905575088,0.8123253358059989,0.8509058693334535,,,
1,gbm,composition,,,,,,,0.4691567226791088,2.263905901651614,0.6077883642976889
1,nn,composition,,,,,,,0.4635733572345171,1.8822304010391235,0.549423336982727
1,nn_ssl,composition,,,,,,,0.46792453167114434,1.8867608308792114,0.5510849952697754
1,class_prior,composition,,,,,,,0.3858683119611553,2.2678346633911133,0.37165868282318115
2,knn,presence_all,0.02378892733564014,0.10769896193771626,0.19096020761245674,0.32071799307958476,0.6172219093904321,0.6553634863041775,,,
2,knn,presence_producer,0.026230686309737693,0.10959396334890406,0.19187926697808122,0.3244699964067553,0.6235682336397881,0.6449779471019448,,,
2,lr_mean,presence_all,0.030709342560553632,0.13170415224913495,0.23464532871972318,0.418901384083045,0.7026212423877087,0.7685756461629422,,,
2,lr_mean,presence_producer,0.037369744879626306,0.15307222421846928,0.26769673014732304,0.45418613007545816,0.7288271463738069,0.7685008135823799,,,
2,gbm,presence_all,0.03525086505190311,0.14662629757785467,0.26535467128027684,0.4801038062283737,0.7359258440667421,0.81272687963264,,,
2,gbm,presence_producer,0.05102407473948976,0.18756737333812432,0.3165648580668344,0.5436579231045634,0.7715994154133359,0.8186946939902617,,,
2,nn,presence_all,0.030060553633217992,0.1342993079584775,0.24610726643598616,0.4532871972318339,0.729460877152151,0.8041563815581998,,,
2,nn,presence_producer,0.037010420409629895,0.15666546891843333,0.28781890046712183,0.5188645346748113,0.765792474636049,0.8118801420459655,,,
2,nn_ssl,presence_all,0.030493079584775085,0.1327854671280277,0.24783737024221453,0.46042387543252594,0.7333628371091916,0.809329161022728,,,
2,nn_ssl,presence_producer,0.035932446999640676,0.15127560186848724,0.2863816025871362,0.5242544017247575,0.7686251663894511,0.8152043582592441,,,
2,gbm,composition,,,,,,,0.44325245799310886,2.0699725809369167,0.5934015173768517
2,nn,composition,,,,,,,0.44784603806027923,1.8792760372161865,0.551478922367096
2,nn_ssl,composition,,,,,,,0.4533359262882771,1.8786259889602661,0.5553920865058899
2,class_prior,composition,,,,,,,0.39275108761258176,2.2105629444122314,0.3946624994277954
3,knn,presence_all,0.023635340461451885,0.12296004501969612,0.21862689926842993,0.35284186831738884,0.6415664810797915,0.6772315115032344,,,
3,knn,presence_producer,0.0234009360374415,0.1393655746229849,0.24284971398855953,0.36453458138325534,0.6531199288431672,0.6718142574596395,,,
3,lr_mean,presence_all,0.030951041080472707,0.1409679234665166,0.25520540236353406,0.4445694991558807,0.7180988643062876,0.7730639791678887,,,
