,,capture@1%,capture@1%,capture@5%,capture@5%,capture@10%,capture@10%,capture@20%,capture@20%,capture_auc,capture_auc,roc_auc_pu,roc_auc_pu,top1_acc,top1_acc,cross_entropy,cross_entropy,mass_on_present,mass_on_present
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
task,model,,,,,,,,,,,,,,,,,,
composition,class_prior,,,,,,,,,,,,,0.383,0.032,2.241,0.023,0.37,0.016
composition,gbm,,,,,,,,,,,,,0.469,0.024,2.089,0.103,0.589,0.013
composition,nn,,,,,,,,,,,,,0.478,0.022,1.824,0.052,0.552,0.006
composition,nn_ssl,,,,,,,,,,,,,0.477,0.017,1.833,0.046,0.554,0.008
presence_all,gbm,0.042,0.006,0.18,0.025,0.319,0.038,0.529,0.04,0.761,0.02,0.826,0.018,,,,,,
presence_all,knn,0.028,0.004,0.126,0.012,0.223,0.021,0.364,0.031,0.651,0.023,0.688,0.023,,,,,,
presence_all,lr_mean,0.029,0.004,0.14,0.014,0.259,0.02,0.454,0.028,0.725,0.017,0.78,0.015,,,,,,
presence_all,nn,0.04,0.007,0.164,0.019,0.297,0.031,0.514,0.04,0.755,0.02,0.818,0.018,,,,,,
presence_all,nn_ssl,0.04,0.007,0.164,0.022,0.296,0.034,0.509,0.037,0.756,0.019,0.819,0.017,,,,,,
presence_producer,gbm,0.061,0.011,0.237,0.04,0.395,0.056,0.608,0.049,0.798,0.022,0.836,0.021,,,,,,
presence_producer,knn,0.032,0.007,0.144,0.022,0.246,0.035,0.386,0.046,0.663,0.028,0.683,0.028,,,,,,
presence_producer,lr_mean,0.035,0.007,0.162,0.018,0.293,0.023,0.501,0.037,0.751,0.02,0.783,0.02,,,,,,
presence_producer,nn,0.055,0.016,0.206,0.033,0.36,0.046,0.595,0.05,0.792,0.022,0.829,0.02,,,,,,
presence_producer,nn_ssl,0.054,0.015,0.205,0.038,0.356,0.053,0.584,0.042,0.792,0.02,0.829,0.019,,,,,,
